date,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,totalTestResults,totalTestResultsIncrease,recovered,states,positihospitalizedCurrentlyve,positividad
2021-01-10,22250149,228732,365652,2068,129223,627592,23640,7878,272322020,2051661,0,56,129223,11.148625430809476
2021-01-11,22445404,195255,367385,1733,129793,630637,23501,7786,274017787,1695767,0,56,129793,11.514258739555611
2021-01-12,22663424,218020,371449,4064,131326,635294,23881,7879,275962021,1944234,0,56,131326,11.213670782426394
2021-01-13,22887915,224491,375536,4087,130391,640606,23857,7902,277789417,1827396,0,56,130391,12.284748352300214
2021-01-14,23113531,225616,379451,3915,128947,644398,23891,7878,279838316,2048899,0,56,128947,11.011572556773174
2021-01-15,23359985,246454,383130,3679,127235,648398,23593,7772,282148200,2309884,0,56,127235,10.66954011543437
2021-01-16,23578070,218085,386839,3709,126139,652437,23524,7755,284264424,2116224,0,56,126139,10.305383551079657
2021-01-17,23765288,187218,388892,2053,124387,654604,23432,7797,286181180,1916756,0,56,124387,9.7674404045168
2021-01-18,23916080,150792,390287,1395,123848,657443,23226,7772,287952448,1771268,0,56,123848,8.513223295401938
2021-01-19,24062706,146626,392428,2141,123910,660649,23054,7688,289549311,1596863,0,56,123910,9.182127709139733
2021-01-20,24251909,189203,396837,4409,122754,665754,22834,7564,291400661,1851350,0,56,122754,10.219731547249305
2021-01-21,24438184,186275,400715,3878,119949,669807,22309,7370,293334343,1933682,0,56,119949,9.63317649954853
2021-01-22,24629099,190915,404695,3980,116264,674132,22008,7236,295356371,2022028,0,56,116264,9.441758472187328
2021-01-23,24806217,177118,408286,3591,113609,680784,21657,7110,297346443,1990072,0,56,113609,8.900079997105632
2021-01-24,24950451,144234,410230,1944,110628,682693,21168,6989,299139335,1792892,0,56,110628,8.04476789455249
2021-01-25,25083905,133454,411823,1593,109938,685208,20875,6857,300769726,1630391,0,56,109938,8.1853984719003
2021-01-26,25230353,146448,415557,3734,108960,688913,20573,6832,302503525,1733799,0,56,108960,8.446653850878908
2021-01-27,25384338,153985,419634,4077,107444,693047,20497,6806,304129918,1626393,0,56,107444,9.467883838654004
2021-01-28,25541644,157306,423645,4011,104303,696547,20113,6642,306066679,1936761,0,56,104303,8.122117287574461
2021-01-29,25708755,167111,427148,3503,101003,699382,19609,6483,308021780,1955101,0,56,101003,8.54743565677681
2021-01-30,25857579,148824,430130,2982,97561,702529,19130,6329,310161359,2139579,0,56,97561,6.955760923060097
2021-01-31,25976946,119367,432189,2059,95013,704700,18968,6291,311887083,1725724,0,56,95013,6.916922984208367
2021-02-01,26097146,120200,433751,1562,93536,706466,18572,6086,313394628,1507545,0,56,93536,7.973227996510883
2021-02-02,26214762,117616,437237,3486,92880,709751,18388,6047,314780223,1385595,0,56,92880,8.488483286963362
2021-02-03,26331722,116960,440922,3685,91440,713726,18147,5920,316165104,1384881,0,56,91440,8.445490984423932
2021-02-04,26455629,123907,446134,5212,88668,717128,17918,5732,317829099,1663995,0,56,88668,7.446356509484704
2021-02-05,26586775,131146,449677,3543,86373,720068,17284,5596,319697595,1868496,0,56,86373,7.018800147284233
2021-02-06,26701332,114557,452671,2994,84233,722511,17093,5475,321586449,1888854,0,56,84233,6.06489437510787
2021-02-07,26797326,95994,454146,1475,81439,724054,16616,5342,323085257,1498808,0,56,81439,6.404689593330167
2021-02-08,26875063,77737,455455,1309,80055,725692,16174,5260,324485266,1400009,0,56,80055,5.552607161811102
2021-02-09,26968049,92986,458250,2795,79179,728836,16129,5216,325973747,1488481,0,56,79179,6.247039767387021
2021-02-10,27063243,95194,461695,3445,76979,732062,15788,5121,327356456,1382709,0,56,76979,6.884601170600611
2021-02-11,27165660,102417,465568,3873,74208,734522,15181,4970,329212385,1855929,0,56,74208,5.518368428964686
2021-02-12,27266690,101030,470995,5427,71471,736869,14766,4849,331024839,1812454,0,56,71471,5.574210435133802
2021-02-13,27357332,90642,474462,3467,69207,738674,14387,4648,332782447,1757608,0,56,69207,5.1571226348537325
2021-02-14,27429496,72164,475828,1366,66947,739910,14038,4542,334222078,1439631,0,56,66947,5.012673386444165
2021-02-15,27484573,55077,476906,1078,65379,741040,13790,4468,335345638,1123560,0,56,65379,4.902007903449749
2021-02-16,27540885,56312,478259,1353,64457,743134,13607,4415,336399336,1053698,0,56,64457,5.344225764877603
2021-02-17,27607724,66839,480607,2348,63329,745991,13094,4271,337697757,1298421,0,56,63329,5.147714031119337
2021-02-18,27674548,66824,483223,2616,62224,748488,13036,4180,339043606,1345849,0,56,62224,4.965192974843389
2021-02-19,27749224,74676,485700,2477,59882,751162,12491,4118,340921639,1878033,0,56,59882,3.9762879566014013
2021-02-20,27821578,72354,487860,2160,58222,752894,12120,3932,342212120,1290481,0,56,58222,5.606746631682295
2021-02-21,27880280,58702,489147,1287,56159,753891,11862,3915,343445115,1232995,0,56,56159,4.760927659885077
2021-02-22,27932810,52530,490382,1235,55403,755196,11536,3804,344646362,1201247,0,56,55403,4.372955770128875
2021-02-23,28001915,69105,492623,2241,55058,757360,11272,3755,345840197,1193835,0,56,55058,5.788488358944075
2021-02-24,28075173,73258,495070,2447,54118,759532,11026,3685,347290863,1450666,0,56,54118,5.0499563648696535
2021-02-25,28150738,75565,498208,3138,52669,761579,10846,3567,349117007,1826144,0,56,52669,4.137954071529956
2021-02-26,28225595,74857,500349,2141,51112,763447,10466,3466,350920316,1803309,0,56,51112,4.151091133022682
2021-02-27,28296840,71245,502196,1847,48871,764875,10114,3335,352575495,1655179,0,56,48871,4.304368288867851
2021-02-28,28351189,54349,503247,1051,47352,765754,9802,3245,353983917,1408422,0,56,47352,3.8588576435187747
2021-03-01,28399281,48092,504488,1241,46738,766778,9595,3171,355138357,1154440,0,56,46738,4.165829319843387
2021-03-02,28453529,54248,506216,1728,46388,768649,9465,3169,356481876,1343519,0,56,46388,4.037754583299529
2021-03-03,28520365,66836,508665,2449,45462,770821,9359,3094,357888671,1406795,0,56,45462,4.750940968655703
2021-03-04,28585852,65487,510408,1743,44172,772351,8970,2973,359479655,1590984,0,56,44172,4.116131903274954
2021-03-05,28654639,68787,512629,2221,42541,775132,8634,2889,361224072,1744417,0,56,42541,3.943265859023387
2021-03-06,28714654,60015,514309,1680,41401,775635,8409,2811,362655064,1430992,0,56,41401,4.193943781656361
2021-03-07,28756489,41835,515151,842,40199,776361,8134,2802,363825123,1170059,0,56,40199,3.5754607246301258
